t	Vm run 00	Vm run 01
100.0	-61.4607218758	-55.1366909604	
100.025	-61.4665809176	-55.129434339
100.05	-61.4735021526	-55.1223216173
100.075	-61.4814187507	-55.115340344
100.1	-61.4902299366	-55.1084827679	
100.125	-61.4998109715	-55.101745284
100.15	-61.5100322272	-55.0951277879
100.175	-61.520774697	-55.0886329807
100.2	-61.5319378866	-55.0822657247	
100.225	-61.5434415316	-55.076032441
100.25	-61.5552239702	-55.0698290529
100.275	-61.5672393637	-55.063473109
100.3	-61.5794549301	-55.0567641237	
100.325	-61.5918486075	-55.049524048
100.35	-61.6044071742	-55.04161689	-
100.375	-61.6171247189	-55.032954482
100.4	-61.6300013418	-55.0234940391	
100.425	-61.6430420082	-55.013231339
100.45	-61.6562555107	-55.0021921755
100.475	-61.6696535271	-54.990423772
100.5	-61.6832497733	-54.9779871754	
100.525	-61.6970592572	-54.964951061
100.55	-61.7110976368	-54.9513870216
100.575	-61.7253806837	-54.937366185
100.6	-61.7399238479	-54.9229569335	
100.625	-61.7545967731	-54.908223479
100.65	-61.769221463	-54.8932249972	
100.675	-61.7836572532	-54.878015007
100.7	-61.7978287477	-54.8626408264	
100.725	-61.8117205935	-54.847143078
100.75	-61.8253610465	-54.8315553857
100.775	-61.8388052195	-54.815904339
100.8	-61.8521218018	-54.8002098224	
100.825	-61.8653837736	-54.784485647
100.85	-61.8786624755	-54.7687404321
100.875	-61.8920241553	-54.752978606
100.9	-61.9055282087	-54.7372014385	
100.925	-61.9192265194	-54.721408007
100.95	-61.9331634734	-54.7055960553
100.975	-61.9473548581	-54.689762695
101.0	-61.9617836378	-54.6739049673	
101.025	-61.9764116479	-54.658020245
101.05	-61.9911942892	-54.6421065089
101.075	-62.0060701059	-54.626167077
101.1	-62.0209586216	-54.6102098362	
101.125	-62.0357734203	-54.594244436
101.15	-62.0504261408	-54.5782803219
101.175	-62.064828831	-54.5623258747
101.2	-62.0789000531	-54.5463882173	
101.225	-62.0925295401	-54.530473269
101.25	-62.1055707138	-54.5145856696
101.275	-62.117867982	-54.4987273479
101.3	-62.1292898692	-54.4748042042	
101.325	-62.1397493854	-54.444754846
101.35	-62.1492092539	-54.410846914	
101.375	-62.157676957	-54.3746847648
101.4	-62.1651951749	-54.3373060948	
101.425	-62.1718314237	-54.299362241
101.45	-62.1776688555	-54.2612520463
101.475	-62.1827989298	-54.223210271
101.5	-62.1873159896	-54.1853650784	
101.525	-62.191313482	-54.1477756411
101.55	-62.1948814755	-54.1104569831
101.575	-62.198105146	-54.0733964695
101.6	-62.2010639534	-54.0365647658	
101.625	-62.2038312952	-53.999947392
101.65	-62.2064744761	-53.9635259462
101.675	-62.2090548781	-53.927272182
101.7	-62.2116397886	-53.8911507527	
101.725	-62.2142988503	-53.855122979
101.75	-62.2170975375	-53.8191495047
101.775	-62.2200915424	-53.783191809
101.8	-62.2233224073	-53.7472129675	
101.825	-62.2268154962	-53.706503047
101.85	-62.2304810974	-53.6613860353
101.875	-62.234134102	-53.6129324345
101.9	-62.2375701318	-53.562130509	-
101.925	-62.2406279774	-53.509731887
101.95	-62.2432138183	-53.4562627547
101.975	-62.2452991873	-53.402071011
102.0	-62.2469076167	-53.3473733196	
102.025	-62.2480989333	-53.292293171
102.05	-62.2489552425	-53.2368893617
102.075	-62.2495699098	-53.181176458
102.1	-62.250039575	-53.1251391685	-
102.125	-62.2504587429	-53.068742250
102.15	-62.2509163752	-53.0119372435
102.175	-62.2514939523	-52.954666663
102.2	-62.2522645655	-52.896866338	-
102.225	-62.2532927016	-52.838466660
102.25	-62.254634474	-52.7793933623	
102.275	-62.2563381188	-52.719144713
102.3	-62.258444638	-52.6572217207	-
102.325	-62.2609834564	-52.593293798
102.35	-62.2639676774	-52.5271888157
102.375	-62.2673935029	-52.458838570
102.4	-62.2712440525	-52.3882294482	
102.425	-62.2754953446	-52.315368117
102.45	-62.2801221478	-52.2402601403
102.475	-62.2851023772	-52.162896968
102.5	-62.2904196714	-52.0832481607	
102.525	-62.296064353	-52.0012572258
102.55	-62.3020331976	-51.9168401428
102.575	-62.3083284575	-51.829885609
102.6	-62.3149565218	-51.7402561276	
102.625	-62.321926502	-51.6477891834
102.65	-62.3292489397	-51.5522980428
102.675	-62.3369421263	-51.453571883
102.7	-62.3347183077	-51.3513751602	
102.725	-62.3260656979	-51.245446176
102.75	-62.3140323269	-51.135494869	
102.775	-62.2952997841	-51.021199808
102.8	-62.2713012612	-50.9022043789	
102.825	-62.244247957	-50.778111426	
102.85	-62.2159504503	-50.6484763749
102.875	-62.187704985	-50.5127993371
102.9	-62.160389826	-50.3705164873	-
102.925	-62.1345756481	-50.220990427
102.95	-62.1106145663	-50.0634988392
102.975	-62.0887062173	-49.897220518
103.0	-62.0689454226	-49.7212178149	
103.025	-62.0513561372	-49.534414375
103.05	-62.0359153462	-49.3355656694
103.075	-62.0225696417	-49.123220645
103.1	-62.0112465731	-48.8956734942	
103.125	-62.0018623781	-48.650903470
103.15	-61.9943272769	-48.3864986001
103.175	-61.9885491469	-48.099556493
103.2	-61.9844361092	-47.7865524531	
103.225	-61.9818983573	-47.443160823
103.25	-61.9808494331	-47.0639864119
103.275	-61.9812070814	-46.642221408
103.3	-61.9828937757	-46.1691685576	
103.325	-61.9858369861	-45.633544070
103.35	-61.9899692487	-45.0204362491
103.375	-61.9952280869	-44.309604827
103.4	-62.0015558252	-43.4730427166	
103.425	-62.0088993314	-42.471102936
103.45	-62.0172097149	-41.2460533103
103.475	-62.0264420029	-39.711143985
103.5	-62.0359560688	-37.7318309249	
103.525	-62.0451514306	-35.093804322
103.55	-62.0537259765	-31.4527626757
103.575	-62.0616389837	-26.279941719
103.6	-62.0690063744	-18.9211268413	
103.625	-62.0760151703	-9.1397152836
103.65	-62.082870096	1.72608827568	-
103.675	-62.0897648321	10.8413874477
103.7	-62.096868785	16.2978937343	-6
103.725	-62.1043227331	18.2702864504
103.75	-62.1122391807	17.8374326845	
103.775	-62.1207049691	15.9940494612
103.8	-62.1296892512	13.435122514	-6
103.825	-62.1390400732	10.5984916823
103.85	-62.1485540166	7.73701334702	
103.875	-62.1580459365	4.98102455134
103.9	-62.1673873975	2.38659516973	-
103.925	-62.1765162033	-0.0310971753
103.95	-62.1854290705	-2.27714471138
103.975	-62.1941675773	-4.3653358378
104.0	-62.2028033352	-6.31216893274	
104.025	-62.2114251161	-8.1340042985
104.05	-62.2201288035	-9.84586317958
104.075	-62.2290102358	-11.461042354
104.1	-62.2381605124	-12.9911059989	
104.125	-62.2476631388	-14.446033560
104.15	-62.2575924565	-15.8344168087
104.175	-62.2680129541	-17.163657551
104.2	-62.2789791865	-18.4401461932	
104.225	-62.289960178	-19.6694148429
104.25	-62.3004092393	-20.8562646453
104.275	-62.3100642126	-22.004869411
104.3	-62.3189360263	-23.1188584525	
104.325	-62.3272007174	-24.201381699
104.35	-62.3351028478	-25.2551601329
104.375	-62.3428963624	-26.282524473
104.4	-62.3508132371	-27.2854435494	
104.425	-62.3590499682	-28.265521675
104.45	-62.3677644656	-29.2240219242
104.475	-62.3770782696	-30.161903191
104.5	-62.3870809922	-31.0798540558	
104.525	-62.3978353276	-31.978321935
104.55	-62.4093818627	-32.8575421499
104.575	-62.4217433909	-33.717570663
104.6	-62.4349286542	-34.5583220341	
104.625	-62.4489355269	-35.379611998
104.65	-62.4637536819	-36.1812026126
104.675	-62.4793667813	-36.962846941
104.7	-62.4957542191	-37.7243298461	
104.725	-62.5128924466	-38.465009570
104.75	-62.5307559307	-39.1845012291
104.775	-62.549317817	-39.882781305	
104.8	-62.5685503837	-40.5600778163	
104.825	-62.588425368	-41.2167616671
104.85	-62.6071338325	-41.8532757183
104.875	-62.6239168038	-42.470054668
104.9	-62.6387852974	-43.0675050697	
104.925	-62.6520801221	-43.646009315
104.95	-62.6641356512	-44.2059296809
