t	Vm run 00	Vm run 01
100.0	-61.4607218758	-55.136690960
100.025	-61.4665809176	-55.1294343
100.05	-61.4735021526	-55.12232161
100.075	-61.4814187507	-55.1153403
100.1	-61.4902299366	-55.108482767
100.125	-61.4998109715	-55.1017452
100.15	-61.5100322272	-55.09512778
100.175	-61.520774697	-55.08863298
100.2	-61.5319378866	-55.082265724
100.225	-61.5434415316	-55.0760324
100.25	-61.5552239702	-55.06982905
100.275	-61.5672393637	-55.0634731
100.3	-61.5794549301	-55.056764123
100.325	-61.5918486075	-55.0495240
100.35	-61.6044071742	-55.04161689
100.375	-61.6171247189	-55.0329544
100.4	-61.6300013418	-55.023494039
100.425	-61.6430420082	-55.0132313
100.45	-61.6562555107	-55.00219217
100.475	-61.6696535271	-54.9904237
100.5	-61.6832497733	-54.977987175
100.525	-61.6970592572	-54.9649510
100.55	-61.7110976368	-54.95138702
100.575	-61.7253806837	-54.9373661
100.6	-61.7399238479	-54.922956933
100.625	-61.7545967731	-54.9082234
100.65	-61.769221463	-54.893224997
100.675	-61.7836572532	-54.8780150
100.7	-61.7978287477	-54.862640826
100.725	-61.8117205935	-54.8471430
100.75	-61.8253610465	-54.83155538
100.775	-61.8388052195	-54.8159043
100.8	-61.8521218018	-54.800209822
100.825	-61.8653837736	-54.7844856
100.85	-61.8786624755	-54.76874043
100.875	-61.8920241553	-54.7529786
100.9	-61.9055282087	-54.737201438
100.925	-61.9192265194	-54.7214080
100.95	-61.9331634734	-54.70559605
100.975	-61.9473548581	-54.6897626
101.0	-61.9617836378	-54.673904967
101.025	-61.9764116479	-54.6580202
101.05	-61.9911942892	-54.64210650
101.075	-62.0060701059	-54.6261670
101.1	-62.0209586216	-54.610209836
101.125	-62.0357734203	-54.5942444
101.15	-62.0504261408	-54.57828032
101.175	-62.064828831	-54.56232587
101.2	-62.0789000531	-54.546388217
101.225	-62.0925295401	-54.5304732
101.25	-62.1055707138	-54.51458566
101.275	-62.117867982	-54.49872734
101.3	-62.1292898692	-54.474804204
101.325	-62.1397493854	-54.4447548
101.35	-62.1492092539	-54.41084691
101.375	-62.157676957	-54.37468476
101.4	-62.1651951749	-54.337306094
101.425	-62.1718314237	-54.2993622
101.45	-62.1776688555	-54.26125204
101.475	-62.1827989298	-54.2232102
101.5	-62.1873159896	-54.185365078
101.525	-62.191313482	-54.14777564
101.55	-62.1948814755	-54.11045698
101.575	-62.198105146	-54.07339646
101.6	-62.2010639534	-54.036564765
101.625	-62.2038312952	-53.9999473
101.65	-62.2064744761	-53.96352594
101.675	-62.2090548781	-53.9272721
101.7	-62.2116397886	-53.891150752
101.725	-62.2142988503	-53.8551229
101.75	-62.2170975375	-53.81914950
101.775	-62.2200915424	-53.7831918
101.8	-62.2233224073	-53.747212967
101.825	-62.2268154962	-53.7065030
101.85	-62.2304810974	-53.66138603
101.875	-62.234134102	-53.61293243
101.9	-62.2375701318	-53.562130509
101.925	-62.2406279774	-53.5097318
101.95	-62.2432138183	-53.45626275
101.975	-62.2452991873	-53.4020710
102.0	-62.2469076167	-53.347373319
102.025	-62.2480989333	-53.2922931
102.05	-62.2489552425	-53.23688936
102.075	-62.2495699098	-53.1811764
102.1	-62.250039575	-53.1251391685
102.125	-62.2504587429	-53.0687422
102.15	-62.2509163752	-53.01193724
102.175	-62.2514939523	-52.9546666
102.2	-62.2522645655	-52.896866338
102.225	-62.2532927016	-52.8384666
102.25	-62.254634474	-52.779393362
102.275	-62.2563381188	-52.7191447
102.3	-62.258444638	-52.6572217207
102.325	-62.2609834564	-52.5932937
102.35	-62.2639676774	-52.52718881
102.375	-62.2673935029	-52.4588385
102.4	-62.2712440525	-52.388229448
102.425	-62.2754953446	-52.3153681
102.45	-62.2801221478	-52.24026014
102.475	-62.2851023772	-52.1628969
102.5	-62.2904196714	-52.083248160
102.525	-62.296064353	-52.00125722
102.55	-62.3020331976	-51.91684014
102.575	-62.3083284575	-51.8298856
102.6	-62.3149565218	-51.740256127
102.625	-62.321926502	-51.64778918
102.65	-62.3292489397	-51.55229804
102.675	-62.3369421263	-51.4535718
102.7	-62.3347183077	-51.351375160
102.725	-62.3260656979	-51.2454461
102.75	-62.3140323269	-51.13549486
102.775	-62.2952997841	-51.0211998
102.8	-62.2713012612	-50.902204378
102.825	-62.244247957	-50.77811142
102.85	-62.2159504503	-50.64847637
102.875	-62.187704985	-50.51279933
102.9	-62.160389826	-50.3705164873
102.925	-62.1345756481	-50.2209904
102.95	-62.1106145663	-50.06349883
102.975	-62.0887062173	-49.8972205
103.0	-62.0689454226	-49.721217814
103.025	-62.0513561372	-49.5344143
103.05	-62.0359153462	-49.33556566
103.075	-62.0225696417	-49.1232206
103.1	-62.0112465731	-48.895673494
103.125	-62.0018623781	-48.6509034
103.15	-61.9943272769	-48.38649860
103.175	-61.9885491469	-48.0995564
103.2	-61.9844361092	-47.786552453
103.225	-61.9818983573	-47.4431608
103.25	-61.9808494331	-47.06398641
103.275	-61.9812070814	-46.6422214
103.3	-61.9828937757	-46.169168557
103.325	-61.9858369861	-45.6335440
103.35	-61.9899692487	-45.02043624
103.375	-61.9952280869	-44.3096048
103.4	-62.0015558252	-43.473042716
103.425	-62.0088993314	-42.4711029
103.45	-62.0172097149	-41.24605331
103.475	-62.0264420029	-39.7111439
103.5	-62.0359560688	-37.731830924
103.525	-62.0451514306	-35.0938043
103.55	-62.0537259765	-31.45276267
103.575	-62.0616389837	-26.2799417
103.6	-62.0690063744	-18.921126841
103.625	-62.0760151703	-9.13971528
103.65	-62.082870096	1.72608827568
103.675	-62.0897648321	10.84138744
103.7	-62.096868785	16.2978937343	
103.725	-62.1043227331	18.27028645
103.75	-62.1122391807	17.837432684
103.775	-62.1207049691	15.99404946
103.8	-62.1296892512	13.435122514	
103.825	-62.1390400732	10.59849168
103.85	-62.1485540166	7.7370133470
103.875	-62.1580459365	4.981024551
103.9	-62.1673873975	2.38659516973
103.925	-62.1765162033	-0.0310971705
103.95	-62.1854290705	-2.277144711
103.975	-62.1941675773	-4.36533583
104.0	-62.2028033352	-6.3121689327
104.025	-62.2114251161	-8.13400429
104.05	-62.2201288035	-9.845863179
104.075	-62.2290102358	-11.4610423
104.1	-62.2381605124	-12.991105998
104.125	-62.2476631388	-14.4460335
104.15	-62.2575924565	-15.83441680
104.175	-62.2680129541	-17.1636575
104.2	-62.2789791865	-18.440146193
104.225	-62.289960178	-19.66941484
104.25	-62.3004092393	-20.85626464
104.275	-62.3100642126	-22.0048694
104.3	-62.3189360263	-23.118858452
104.325	-62.3272007174	-24.2013816
104.35	-62.3351028478	-25.25516013
104.375	-62.3428963624	-26.2825244
104.4	-62.3508132371	-27.285443549
104.425	-62.3590499682	-28.2655216
104.45	-62.3677644656	-29.22402192
104.475	-62.3770782696	-30.1619031
104.5	-62.3870809922	-31.079854055
104.525	-62.3978353276	-31.9783219
104.55	-62.4093818627	-32.85754214
104.575	-62.4217433909	-33.7175706
104.6	-62.4349286542	-34.558322034
104.625	-62.4489355269	-35.3796119
104.65	-62.4637536819	-36.18120261
104.675	-62.4793667813	-36.9628469
104.7	-62.4957542191	-37.724329846
104.725	-62.5128924466	-38.4650095
104.75	-62.5307559307	-39.18450122
104.775	-62.549317817	-39.88278130
104.8	-62.5685503837	-40.560077816
104.825	-62.588425368	-41.21676166
104.85	-62.6071338325	-41.85327571
104.875	-62.6239168038	-42.4700546
104.9	-62.6387852974	-43.067505069
104.925	-62.6520801221	-43.6460093
