# presynaptic cell type	cell ID	spike times
L1_B1	0	66.1219815159,
L1_B1	6	174.863960609,281.277497845,
L1_B2	4	0.302219769242,
L1_B3	2	337.751395234,
L1_Beta	0	70.5856469949,
L1_C1	11	14.3144635349,
L1_C1	13	90.7338018772,
L1_C2	0	258.249399586,
L1_C2	10	296.955788154,
L1_C2	12	171.021466552,
L1_C2	17	81.2982936129,263.577050242,
L1_C2	19	36.2301123428,229.626841281,
L1_C2	22	49.0944246866,
L1_C2	25	260.694038079,270.330683482,
L1_C2	26	255.464268765,
L1_C2	27	280.821455072,
L1_C2	30	0.339051503762,221.223428908,
L1_C2	34	202.887478567,
L1_C2	37	276.193418886,
L1_C2	41	81.926669309,
L1_C3	4	10.0226087886,
L1_C3	5	182.044399818,
L1_C3	8	263.685253317,
L1_D1	4	74.0652105268,216.831914046,
L1_D2	0	233.694951355,
L1_D2	5	245.684822239,
L1_D2	6	93.4692068403,300.784350782,
L1_D2	12	112.784320662,
L1_D2	15	53.692729289,
L1_D2	17	207.710547353,
L1_D2	18	190.432381211,
L1_D2	19	200.418997582,
L1_D2	22	198.061832415,
L1_D3	2	139.452547188,
L1_E2	1	247.065794538,
L23Trans_B1	0	9.3142418191,9.65733509443,98.3090272059,
L23Trans_B2	1	19.8887915087,21.9729226211,159.207790569,242.899589067,261.500530658,337.540734821,
L23Trans_B2	2	37.1780735643,
L23Trans_B2	3	7.60184559154,94.176048297,180.586061431,
L23Trans_B2	4	17.1044329075,162.004169813,300.920623039,
L23Trans_B2	5	25.725704359,243.321703851,258.574959951,285.635820902,
L23Trans_B2	6	239.092586371,319.260883226,
L23Trans_B3	0	84.5596881448,114.165651387,
L23Trans_B3	1	186.889903157,280.924060947,
L23Trans_C1	0	199.273709417,285.406768647,
L23Trans_C1	1	166.455161347,274.029653347,312.819098454,
L23Trans_C1	2	68.4610931161,242.779308065,
L23Trans_C1	3	68.1130187761,117.825050812,285.366116428,
L23Trans_C1	4	84.7487155164,285.362095344,
L23Trans_C1	5	48.4655310126,221.691350739,314.031795574,
L23Trans_C2	0	7.72542899411,225.23257576,
L23Trans_C2	1	53.451566558,105.765963079,253.328119303,
L23Trans_C2	2	234.218245417,
L23Trans_C2	3	6.02468812209,86.6278218991,260.025728702,261.676639286,
L23Trans_C2	4	253.755586844,315.472547933,
L23Trans_C2	5	155.035364645,213.050424511,224.923976121,253.686022206,
L23Trans_C2	6	105.671722036,146.271337279,253.288656547,
L23Trans_C2	7	263.364347617,271.048893959,
L23Trans_C2	8	22.9451149342,35.1129170642,270.74255268,
L23Trans_C2	9	78.5641155071,116.641398697,
L23Trans_C2	10	63.5423205307,91.0616730599,181.844020354,186.55992804,210.07008443,344.82421802,
L23Trans_C2	11	40.932442739,88.0672882563,111.83871122,253.009926322,254.801648106,255.597231737,305.23098546,
L23Trans_C2	12	7.90655760229,182.541641467,286.094584727,315.684876793,
L23Trans_C2	13	253.776198941,
L23Trans_C2	14	95.6994497614,96.6350462542,102.894945212,253.338333388,254.81221753,294.412376813,
L23Trans_C2	15	141.133750176,253.86961472,279.897216829,338.223529965,
