# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1_C1	19	1539.71545505	50	80	ApicalDendrite	14.3144635349,
L1_C1	23	1342.08330001	60	29	ApicalDendrite	90.7338018772,
L1_C2	2	1360.90328786	72	5	ApicalDendrite	258.249399586,
L1_C2	4	1494.23797079	79	98	ApicalDendrite	258.249399586,
L1_C2	42	1506.88516841	49	54	ApicalDendrite	171.021466552,
L1_C2	47	1392.0192996	78	38	ApicalDendrite	171.021466552,
L1_C2	76	1444.13929818	73	13	ApicalDendrite	81.2982936129,
L1_C2	77	1381.63874556	81	41	ApicalDendrite	263.577050242,
L1_C2	83	1362.17163571	52	53	ApicalDendrite	36.2301123428,
L1_C2	84	1421.71484714	81	63	ApicalDendrite	229.626841281,
L1_C2	91	1221.70072146	62	22	ApicalDendrite	49.0944246866,
L1_C2	142	1278.6654022	40	198	ApicalDendrite	202.887478567,
L1_C2	151	1463.60154021	50	45	ApicalDendrite	276.193418886,
L1_C2	153	1385.43159657	49	5	ApicalDendrite	276.193418886,
L1_C2	156	1341.57478766	43	10	ApicalDendrite	276.193418886,
L1_C3	5	1400.62476598	81	53	ApicalDendrite	10.0226087886,
L1_C3	6	1432.11941792	65	12	ApicalDendrite	182.044399818,
L1_C3	9	1427.35148544	65	10	ApicalDendrite	263.685253317,
L1_D2	9	1386.08051476	59	60	ApicalDendrite	300.784350782,
L1_D2	10	1467.98317221	82	74	ApicalDendrite	300.784350782,
L1_D2	25	1428.64859074	62	134	ApicalDendrite	112.784320662,
L1_D2	29	1347.91111394	59	42	ApicalDendrite	53.692729289,
L1_D2	34	1310.77476119	78	0	ApicalDendrite	190.432381211,
L1_D2	35	1416.63316388	52	82	ApicalDendrite	190.432381211,
L1_D2	36	1520.68160711	49	61	ApicalDendrite	200.418997582,
L1_E2	1	1478.63549672	62	159	ApicalDendrite	247.065794538,
L23Trans_B2	1	84.5408511745	10	22	ApicalDendrite	242.899589067,
L23Trans_B2	3	974.222878958	51	5	ApicalDendrite	94.176048297,180.586061431,
L23Trans_B2	4	1181.20901525	62	1	ApicalDendrite	300.920623039,
L23Trans_B2	6	129.593916658	19	8	ApicalDendrite	239.092586371,
L23Trans_B3	1	306.262417362	28	88	ApicalDendrite	186.889903157,
L23Trans_C1	0	1417.47124041	47	9	ApicalDendrite	199.273709417,
L23Trans_C1	1	1380.40880794	50	4	ApicalDendrite	312.819098454,
L23Trans_C1	3	878.315405976	38	549	ApicalDendrite	68.1130187761,
L23Trans_C2	1	1010.78004878	66	34	ApicalDendrite	53.451566558,
L23Trans_C2	2	261.789195704	83	42	ApicalDendrite	234.218245417,
L23Trans_C2	3	996.084974249	40	20	ApicalDendrite	234.218245417,
L23Trans_C2	4	985.888039582	40	12	ApicalDendrite	6.02468812209,260.025728702,
L23Trans_C2	5	1293.70490485	60	7	ApicalDendrite	253.755586844,
L23Trans_C2	10	906.200159432	38	566	ApicalDendrite	105.671722036,
L23Trans_C2	14	1098.22085146	51	83	ApicalDendrite	116.641398697,
L23Trans_C2	15	931.204521717	38	587	ApicalDendrite	181.844020354,210.07008443,
L23Trans_C2	16	1007.86014521	61	25	ApicalDendrite	210.07008443,
L23Trans_C2	17	1061.76748857	61	59	ApicalDendrite	210.07008443,
L23Trans_C2	18	134.369382437	19	15	ApicalDendrite	111.83871122,255.597231737,
L23Trans_C2	19	564.586401744	38	361	ApicalDendrite	7.90655760229,315.684876793,
L23Trans_C2	20	966.855311126	61	0	ApicalDendrite	286.094584727,
L23Trans_C2	22	738.219527811	38	460	ApicalDendrite	253.776198941,
L23Trans_C2	23	347.294852667	29	22	ApicalDendrite	253.338333388,
L23Trans_C2	24	1177.2294498	66	146	ApicalDendrite	141.133750176,253.86961472,
L23Trans_C2	25	991.631492482	61	14	ApicalDendrite	255.417991052,318.275678412,
L23Trans_C2	26	1085.63686621	61	75	ApicalDendrite	255.417991052,
L23Trans_C2	27	1294.01463328	80	69	ApicalDendrite	253.624189389,
L23Trans_C2	29	974.222878958	51	5	ApicalDendrite	208.321151263,
L23Trans_C2	31	1454.27595535	65	19	ApicalDendrite	224.858552344,
L23Trans_C2	34	1045.57715286	51	49	ApicalDendrite	261.444804092,
L23Trans_C2	35	1191.04505445	63	9	ApicalDendrite	261.444804092,
L23Trans_C2	38	1407.08560569	82	46	ApicalDendrite	215.596288008,
L23Trans_C2	39	789.395915555	38	493	ApicalDendrite	188.420615866,
L23Trans_C2	42	992.981525967	51	16	ApicalDendrite	166.699707754,
L23Trans_C2	44	1002.40178737	61	21	ApicalDendrite	253.416492743,
L23Trans_C2	47	1166.46917296	40	133	ApicalDendrite	24.8917396637,
L23Trans_C2	48	1067.97429551	66	71	ApicalDendrite	85.1977238,253.741637795,
L23Trans_C2	49	594.107449774	38	374	ApicalDendrite	148.625643864,
L23Trans_C2	50	1203.37932047	63	18	ApicalDendrite	21.2585411532,
L23Trans_C2	53	1178.71923326	51	127	ApicalDendrite	81.8470941129,343.343609557,
L23Trans_C2	54	1293.37667345	53	22	ApicalDendrite	81.8470941129,343.343609557,
L23Trans_C2	55	154.822968613	126	77	Dendrite	152.941498205,278.506076766,
L23Trans_C2	56	1057.03628098	40	63	ApicalDendrite	114.361108,
L23Trans_C2	60	176.120194819	20	19	ApicalDendrite	253.70346665,344.350594265,
L23Trans_C2	61	400.232695293	37	108	ApicalDendrite	300.480112476,
L23Trans_C2	64	148.934993306	16	25	ApicalDendrite	255.706901217,
L23Trans_C2	65	1465.48373691	49	35	ApicalDendrite	256.984206022,288.311993118,
L23Trans_C2	66	978.875465561	40	7	ApicalDendrite	280.823617466,
L23Trans_C2	67	1323.50761621	62	80	ApicalDendrite	126.977592201,
L23Trans_C2	68	1029.47601611	66	48	ApicalDendrite	253.032720048,
L23Trans_C2	75	154.993635374	84	105	ApicalDendrite	101.176912599,153.569705353,
L23Trans_C2	77	886.992657417	38	555	ApicalDendrite	334.080134859,
L23Trans_C2	78	919.952724209	38	577	ApicalDendrite	159.624507572,254.824380112,334.080134859,
L23Trans_C3	1	77.2724093037	139	29	Dendrite	146.358384937,154.632333268,334.9263694,
L23Trans_D2	1	1489.26152214	57	90	ApicalDendrite	261.094709237,
L23Trans_D2	3	234.052160577	105	128	Dendrite	16.5089391606,
L23Trans_D2	6	1290.04105381	62	57	ApicalDendrite	215.90858925,
L23Trans_D2	10	1254.39744713	63	49	ApicalDendrite	103.27575357,327.896815842,
L2_Alpha	6	215.512418731	26	11	ApicalDendrite	319.487818395,
L2_B1	0	101.304480183	15	30	ApicalDendrite	273.891868026,
L2_B1	14	84.1241941664	10	21	ApicalDendrite	284.048917939,
L2_B1	15	73.0910864162	2	64	Dendrite	178.299732259,
L2_B1	26	202.371981138	91	15	Dendrite	53.8341906633,
L2_B1	27	48.8742944593	157	4	Dendrite	26.8573615874,
L2_B1	44	1027.83257715	66	47	ApicalDendrite	45.7997653924,
L2_B1	45	267.576802551	20	119	ApicalDendrite	276.985185685,
L2_B1	46	98.1247112841	14	15	ApicalDendrite	90.0873976215,
L2_B1	59	274.204005949	151	79	Dendrite	198.610044233,
L2_B1	68	288.995187658	20	136	ApicalDendrite	286.075657705,
L2_B2	8	128.903945297	93	70	Dendrite	294.559013778,
L2_B2	33	203.842926469	11	81	ApicalDendrite	340.390579903,
L2_B2	37	123.671436758	11	41	ApicalDendrite	122.031177212,
L2_B2	40	196.403251624	133	44	Dendrite	21.0197533466,
L2_B2	55	200.64237618	160	231	Dendrite	335.753388118,
L2_B2	64	225.099796846	152	64	Dendrite	270.378838907,
L2_B2	67	1228.20572004	67	35	ApicalDendrite	294.832783547,
L2_B2	69	1399.95915215	60	54	ApicalDendrite	36.1864885492,
L2_B2	99	202.168752988	20	49	ApicalDendrite	51.6779918005,
L2_B2	107	59.5570707524	147	17	Dendrite	76.8656016528,256.398085159,
L2_B2	113	1345.89713374	70	14	ApicalDendrite	100.150963672,
L2_B2	116	1357.97987855	79	37	ApicalDendrite	16.1179224634,19.2447803719,110.318715958,
L2_B2	127	51.5551324332	4	14	Dendrite	127.377039147,
L2_B2	130	184.704008898	10	116	ApicalDendrite	142.693552067,
L2_B2	138	120.925994171	84	68	ApicalDendrite	159.521284447,
L2_B2	154	55.5045931831	85	76	Dendrite	286.987872133,
L2_B2	159	1249.56038621	80	42	ApicalDendrite	206.763759826,
L2_B2	182	131.94308605	132	128	Dendrite	278.852546947,
L2_B2	185	275.976558934	20	123	ApicalDendrite	22.6853310778,307.891524785,
L2_B2	189	332.507484733	20	189	ApicalDendrite	1.18104953979,
L2_B2	211	1298.38854107	63	74	ApicalDendrite	56.6526764098,
L2_B2	222	65.3632960191	2	48	Dendrite	175.424641049,
L2_B2	239	1366.36219945	71	8	ApicalDendrite	142.792389093,
L2_B2	247	59.8977214899	4	34	Dendrite	144.706405455,
L2_B2	248	221.766126147	20	67	ApicalDendrite	74.8292951083,
L2_B2	280	93.2461673248	155	54	Dendrite	10.1410591212,
L2_B2	284	111.772413833	139	65	Dendrite	97.8379439243,
L2_B2	287	1187.21067608	80	6	ApicalDendrite	182.436882251,
L2_B2	324	112.082569787	132	110	Dendrite	149.76616371,
L2_B3	0	83.3727207344	93	21	Dendrite	200.49265176,
L2_B3	19	1387.89964646	78	35	ApicalDendrite	293.852642231,
L2_B3	30	260.321828458	155	256	Dendrite	171.679036812,
L2_B3	31	295.427103612	9	271	ApicalDendrite	171.679036812,
L2_B3	35	260.201992265	155	255	Dendrite	254.156307292,
L2_B3	40	245.55828279	155	238	Dendrite	132.861062424,
L2_B3	47	1455.22737128	82	68	ApicalDendrite	64.2464834687,
L2_B3	48	1467.98317221	82	74	ApicalDendrite	64.2464834687,
L2_B3	51	208.909612603	11	87	ApicalDendrite	290.953179298,
L2_B3	71	1404.56977107	59	68	ApicalDendrite	14.5916273619,
L2_B3	100	85.7133729288	155	39	Dendrite	150.93921528,
L2_B3	108	158.963182749	10	88	ApicalDendrite	126.555134397,
L2_B3	109	1149.0237324	66	128	ApicalDendrite	126.555134397,
